"Event_id","Event_date","Event_group","involvement","IsProtest","preannounced","public_invitation","disruption","violence","symbolic","arrests","location_target","Event_name","headcount","action_freetext","location_freetext","Event_day","Event_prob_protest","issue"
"TridentPlough.2010-02-15.E1","2010-02-15","TridentPlough","Organised","Protest","Before event day","Yes","Yes","No","No","Yes","Company site","Aldermaston blockade, oppose nuclear weapons","26 arrests","blockade","Aldermaston nuclear bomb factory","Mon",0.999996806843287,"env"
"campaigncc.2010-03-09.E1","2010-03-09","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Unknown","Demo against biofuel power plant","","demonstration","Southall","Tue",0.903512835502625,"env"
"TridentPlough.2010-04-03.E1","2010-04-03","TridentPlough","Organised","Protest","Before event day","Yes","No","No","No","No","Company site","Euro Day of Action to ban nuclear weapons","","day of action","Faslane, Scotland","Sat",0.992699249796854,"env"
"public services march.2010-04-10.E1","2010-04-10","bectu, keepnhspublic","Participated, Participated","Protest","Before event day","Yes","No","No","No","No","Public space","defend welfare state and public services",NA,"march, demonstration, rally","Victoria, Embankment","Sat",0.99980558084473,"pov"
"unitetheunion.2010-05-05.E1","2010-05-05","unitetheunion","Organised","Strike","On day, before event","No","No","No","No","No","Other","Strike at Glasgow Herald and The Evening Times",NA,"24hr stoppage","","Wed",0.971246050778888,"pov"
"campaigncc.2010-05-15.E1","2010-05-15","campaigncc","Organised","Protest","Before event day","Yes","No","No","Yes","No","Unknown","Climate emergency vigil","","overnight vigil","","Sat",0.999994716275315,"env"
"CNDuk.2010-05-31.E1","2010-05-31","CNDuk","Organised","Protest","On day, before event","Yes","No","No","No","No","Political site","Save the Gaza flotilla","","protest","Downing Street","Mon",0.913985126083921,"env"
"CNDuk.2010-07-10.E1","2010-07-10","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Unknown","Stop Nuclear Trains through London and the Olympic Park","","demonstration","","Sat",0.836055278778076,"env"
"GreenpeaceUK.2010-07-27.E1","2010-07-27","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","Yes","No","Company site","Oppose BP","","shut down BP stations, switched off power to petrol pumps, put up signs","BP stations","Tue",0.998843262351922,"env"
"campaigncc.2010-08-10.E1","2010-08-10","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Oppose biomass and biofuels","","demonstration","outside town hall, Bristol","Tue",0.85317051410675,"env"
"climatecamp.2010-08-23.E1","2010-08-23","climatecamp","Organised","Protest","After event","No","Yes","No","No","No","Company site","climate camp","3","glued on, shut down","RBS Nicolson Street, Edinburgh","Mon",0.733827605959437,"env"
"GreenpeaceUK.2010-08-31.E1","2010-08-31","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","No","No","Company site","Oppose oil","4","occupation, climb/scale rig","Cairn energy oil rig, arctic","Tue",0.986781726400912,"env"
"GreenpeaceUK.2010-09-01.E1","2010-09-01","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","No","No","Company site","Oppose oil","4","occupation","Cairn deepwater oil rig","Wed",0.319636172209739,"env"
"campaigncc.2010-09-04.E1","2010-09-04","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Company site","End Domestic Flights","","demonstration","City airport, London, Manchester","Sat",0.989541498907417,"env"
"NASUWT.2010-09-05.E1","2010-09-05","NASUWT","Participated","Protest","Before event day","Yes","No","No","No","No","Other","Burston strike rally, comemorative event",NA,"strike rally, march","Church Green, Burston, Nr Diss, Norfolk","Sun",0.985616052988257,"pov"
"unitetheunion.2010-09-10.E1","2010-09-10","unitetheunion","Organised","Protest","On day, before event","No","No","No","No","No","Unknown","combat onslaught to the legal advice system",NA,"rally","","Fri",0.90478208961958,"pov"
"campaigncc.2010-09-15.E1","2010-09-15","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","oppose subsidies for agrofuels","","demonstration","DECC, Whitehall","Wed",0.88290330802693,"env"
"climatecamp.2010-09-25.E1","2010-09-25","climatecamp","Participated","Protest","Before event day","Yes","No","No","No","No","Public space","National demonstration against Agrofuels","","demonstration","Portland in Dorset","Sat",0.996234639948147,"env"
"GreenpeaceUK.2010-09-27.E1","2010-09-27","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","No","No","Company site","Beyond oil","1","block drill ship","Ocean, in front of Chevron ship","Mon",0.840698897838593,"env"
"TridentPlough.2010-09-29.E1","2010-09-29","TridentPlough","Organised","Protest","Before event day","Yes","No","No","No","No","Unknown","Oppose upgrade of Aldermaston nuclear warhead factory","","demonstration","Reading planning committee meeting","Wed",0.903162717819214,"env"
"Dis_PPL_Protest.2010-10-03.E1","2010-10-03","Dis_PPL_Protest","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","Tory Party Conference",NA,"protest","Birmingham","Sun",0.999978934992209,"pov"
"unitetheunion.2010-10-08.E1","2010-10-08","unitetheunion","Organised","Strike","On day, before event","No","No","No","No","No","Other","Strike at Tyneside Safety Glass",NA,"strike action","","Fri",0.934681611969173,"pov"
"unitetheunion.2010-10-12.E1","2010-10-12","unitetheunion","Organised","Protest","On day, before event","No","No","No","No","No","Company site","oppose dock privatisation and support workers’ rights",NA,"rally","Dover","Tue",0.976852820676656,"pov"
"unitetheunion.2010-10-12.E2","2010-10-12","unitetheunion","Organised","Strike","On day, before event","No","No","No","No","No","Other","Oxford University Press strike",NA,"strike action","Corby, Oxford University Press","Tue",0.976852820676656,"pov"
"Crude Awakening blockade.2010-10-16.E1","2010-10-16","climatecamp, liberatetate","Organised, Participated","Protest","Before event day","Yes","Yes","No","No","No","Company site","Crude Awakening","100s","blockade, mass action","Essex oil refineries","Sat",0.999994193734866,"env"
"EquityUK.2010-10-19.E1","2010-10-19","EquityUK","Participated","Protest","Before event day","No","No","No","No","No","Political site","Demo Against the Cuts",NA,"demonstration, rally","Parliament, Westminster","Tue",0.986997789642182,"pov"
