"group_date_id","Event_date","Event_group","involvement","IsProtest","preannounced","public_invitation","disruption","violence","symbolic","arrests","location_target","Event_name","headcount","action_freetext","location_freetext","date_preannounced","n_tweets_about_event_day","n_tweets_about_event_day_weighted","n_articles","n_articles_bm","n_articles_after","n_articles_bm_after","source_ind","source_express","source_guardian","source_dstar","source_mirror","source_sun","source_dm","source_metro","source_telegraph","source_times","source_ft","source_itv","source_four","source_bbc","bm_source_ind","bm_source_express","bm_source_guardian","bm_source_dstar","bm_source_mirror","bm_source_sun","bm_source_dm","bm_source_metro","bm_source_telegraph","bm_source_times","bm_source_ft","bm_source_itv","bm_source_four","bm_source_bbc","issue"
"TridentPlough/2010-02-15","2010-02-15","TridentPlough","Organised","Protest","Before event day","Yes","Yes","No","No","Yes","Company site","Aldermaston blockade, oppose nuclear weapons","26 arrests","blockade","Aldermaston nuclear bomb factory","2010-01-21",11,5.91740275392834,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"campaigncc/2010-03-09","2010-03-09","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Unknown","Demo against biofuel power plant","","demonstration","Southall","2010-03-08",1,0.903512835502625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"TridentPlough/2010-04-03","2010-04-03","TridentPlough","Organised","Protest","Before event day","Yes","No","No","No","No","Company site","Euro Day of Action to ban nuclear weapons","","day of action","Faslane, Scotland","2010-03-15",5,2.77479273080826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"bectu, keepnhspublic/2010-04-10","2010-04-10","bectu, keepnhspublic","Participated, Participated","Protest","Before event day","Yes","No","No","No","No","Public space","defend welfare state and public services","","march, demonstration, rally","Victoria, Embankment","2010-02-09",4,3.52360761165619,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"pov"
"unitetheunion/2010-05-05","2010-05-05","unitetheunion","Organised","Strike","On day, before event","No","No","No","No","No","Other","Strike at Glasgow Herald and The Evening Times","","24hr stoppage","","2010-05-05",2,1.66063243150711,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"pov"
"campaigncc/2010-05-15","2010-05-15","campaigncc","Organised","Protest","Before event day","Yes","No","No","Yes","No","Unknown","Climate emergency vigil","","overnight vigil","","2010-03-21",6,5.13136613404153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"CNDuk/2010-05-31","2010-05-31","CNDuk","Organised","Protest","On day, before event","Yes","No","No","No","No","Political site","Save the Gaza flotilla","","protest","Downing Street","2010-05-31",2,1.09144748747349,4,4,4,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,"env"
"CNDuk/2010-07-10","2010-07-10","CNDuk","Organised","Protest","Before event day","Yes","No","No","No","No","Unknown","Stop Nuclear Trains through London and the Olympic Park","","demonstration","","2010-05-19",1,0.836055278778076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"GreenpeaceUK/2010-07-27","2010-07-27","GreenpeaceUK","Organised","Protest","After event","No","Yes","No","Yes","No","Company site","Oppose BP","","shut down BP stations, switched off power to petrol pumps, put up signs","BP stations","2010-07-27",4,2.71652524527518,10,10,10,10,0,1,1,1,3,3,1,0,0,0,0,0,0,0,0,1,1,1,3,3,1,0,0,0,0,0,0,0,"env"
"campaigncc/2010-08-10","2010-08-10","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Oppose biomass and biofuels","","demonstration","outside town hall, Bristol","2010-07-20",1,0.85317051410675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
